fish #,population,collection date,sex,SL (mm),bodymass ,pelvic fins,eye diameter (mm),head length (mm),body depth (mm)
1159,river,May-14,M,46.2,2.87,2,3.954,13.664,16.909
1160,river,May-14,F,38,1.28,2,2.708,9.619,10.542
1161,river,May-14,M,28.7,0.56,2,2.178,7.384,7.843
1162,river,May-14,F,39.8,1.62,2,3.294,10.545,11.4
1163,river,May-14,F,31.4,0.8,2,2.241,7.843,9.042
1164,river,May-14,F,40.3,1.58,2,2.636,10.223,11.665
1165,river,May-14,F,42.5,1.96,2,3.229,11.796,12.85
1166,river,May-14,F,35.3,1.24,2,2.701,9.686,10.361
1167,river,May-14,F,44.1,2.25,2,3.163,12.255,13.181
1168,river,May-14,F,36.1,1.39,2,2.968,10.281,10.675
1169,river,May-14,F,26.8,0.52,2,2.241,7.379,7.515
1170,river,May-14,F,38.05,1.6,2,2.902,10.314,11.611
1171,river,May-14,F,45.9,2.58,2,3.888,13.761,15.145
1172,river,May-14,M,41.55,1.9,2,3.165,11.596,13.047
1173,river,May-14,F,38.65,1.55,2,2.636,10.278,11.273
1174,river,May-14,M,44.9,2.49,2,2.902,12.124,15.091
1175,river,May-14,F,38.25,1.58,2,2.906,10.212,11.531
1176,river,May-14,F,38.8,1.54,2,3.034,10.872,11.466
1177,river,May-14,M,48.8,3.56,2,3.514,12.793,17.162
1178,river,May-14,F,25.9,0.34,2,1.977,6.37,6.325
1179,river,May-14,F,32.85,0.84,2,2.373,8.434,9.49
1180,river,May-14,F,32.8,0.99,2,2.372,8.96,9.4
1181,river,May-14,F,38.15,1.48,2,2.811,10.808,11.377
1182,river,May-14,F,41.15,1.79,2,3.034,10.893,11.968
1183,river,May-14,M,51.25,3.59,2,4.225,14.064,19.042
1184,river,May-14,M,43.35,2.52,2,3.097,12.124,15.289
1185,river,May-14,F,38.45,1.39,2,2.965,9.553,10.807
1186,river,May-14,M,43.9,2.45,2,3.099,12.552,16.75
1187,river,May-14,F,37,1.09,2,2.702,9.828,9.696
1188,river,May-14,F,37.75,1.31,2,2.635,8.962,10.016
1189,river,May-14,M,47.75,3.3,2,3.297,13.903,17.196
1190,river,May-14,F,38.5,1.78,2,2.968,10.146,12.269
1191,river,May-14,F,37.25,1.37,2,2.708,10.41,11.084
1192,river,May-14,F,26.35,0.47,2,1.846,6.852,7.258
1193,river,May-14,F,38.25,1.22,2,3.097,9.557,10.278
1194,river,May-14,F,36.4,1.24,2,2.57,9.094,10.028
1195,river,May-14,F,43.4,2,2,2.965,10.344,12.057
1196,river,May-14,F,33.7,0.92,2,2.241,8.236,8.832
1197,river,May-14,M,44.4,2.52,2,3.231,11.794,14.959
1198,river,May-14,F,42.3,2.11,0,3.294,11.069,12.718
1199,river,May-14,F,40.3,1.91,2,2.591,11.903,12.43
1200,river,May-14,F,43.15,1.98,2,3.031,12.3,12.869
1201,river,May-14,M,37.5,1.28,2,2.679,11.508,11.728
1202,river,May-14,F,38.95,1.66,2,2.943,10.981,12.211
1203,river,May-14,F,40,1.52,2,2.461,11.117,11.86
1204,river,May-14,F,37.95,1.33,2,2.987,11.156,10.629
1205,river,May-14,F,41.45,2,2,2.988,12.475,12.694
1206,river,May-14,M,32.35,0.95,2,2.679,10.058,9.707
1207,river,May-14,M,45.6,2.28,2,3.558,14.758,14.495
1208,river,May-14,F,25.7,0.4,2,1.815,7.467,7.116
1209,river,May-14,F,44.1,2.29,2,2.988,13.402,13.616
1210,river,May-14,F,41.65,1.92,2,2.855,11.64,12.299
1211,river,May-14,F,36.55,1.32,2,2.548,10.763,10.805
1212,river,May-14,F,37,1.28,2,2.679,11.596,11.069
1213,river,May-14,M,42.05,1.95,2,2.899,11.991,13.265
1214,river,May-14,M,37.65,1.63,2,3.119,12.386,12.65
1215,river,May-14,F,38.25,1.64,2,2.855,11.596,12.079
1216,river,May-14,F,41.15,1.93,2,2.943,12.079,12.957
1217,river,May-14,M,32.55,0.77,2,2.416,9.531,8.477
1218,river,May-14,F,41,1.74,2,2.899,11.332,11.991
1219,river,May-14,F,33.1,0.87,2,2.591,9.224,9.048
1220,river,May-14,F,41.05,1.56,2,3.162,12.694,12.079
1221,river,May-14,F,42.8,1.94,2,3.119,12.211,12.957
1222,river,May-14,F,31.2,0.84,2,2.504,9.531,8.829
1223,river,May-14,F,40.35,1.68,2,2.855,11.288,12.167
1224,river,May-14,F,48.75,3,2,3.821,14.692,15.022
1225,river,May-14,F,38.1,1.41,2,2.987,10.849,11.113
1226,river,May-14,F,38.2,1.55,2,3.075,11.991,11.596
1227,river,May-14,M,44.95,2.63,2,3.119,13.221,15.505
1228,river,May-14,F,40.9,2.11,2,2.899,11.73,12.869
1229,river,May-14,F,35.35,1.01,2,2.635,10.234,10.058
1230,river,May-14,M,41.45,2.21,2,2.987,12.474,14.275
1231,river,May-14,M,32.3,0.91,2,2.635,9.4,9.751
1232,river,May-14,M,45.2,2.75,2,3.47,14.363,15.768
1233,river,May-14,M,46.5,3.03,2,3.075,13.484,16.91
1234,river,May-14,M,34.9,1.2,2,2.504,10.542,11.376
1235,river,May-14,F,33.6,0.98,2,2.723,9.707,9.795
1236,river,May-14,F,36,1.25,2,2.987,11.113,11.244
1237,river,May-14,F,41,1.89,2,3.47,12.167,12.123
1238,river,May-14,F,30.55,0.69,2,2.431,9.37,8.463
1239,river,May-14,F,40.25,1.63,2,3.075,13.089,12.211
1240,river,May-14,F,35.05,1.14,2,2.328,10.146,10.366
1241,river,May-14,F,38.7,1.54,2,2.811,11.157,10.981
1242,river,May-14,F,35,1.07,2,2.855,11.113,10.585
1243,river,May-14,F,44.2,2.31,2,3.206,13.88,13.88
1244,river,May-14,M,49.45,3.41,2,3.294,16.144,18.382
1245,river,May-14,M,30.75,0.72,2,2.373,8.763,8.763
1246,river,May-14,F,31.15,0.8,2,2.24,8.565,9.026
1247,river,May-14,M,36.1,1.2,2,2.635,10.805,10.454
1248,river,May-14,F,39.6,1.68,2,2.987,10.717,11.596
1249,river,May-14,F,46,2.58,2,3.514,13.529,14.758
1250,river,May-14,F,38.95,1.39,2,2.987,10.805,10.893
1251,river,May-14,F,43.25,1.89,2,3.075,12.212,12.474
1252,river,May-14,F,38.6,1.53,2,3.162,10.63,11.947
1253,river,May-14,F,42.6,2.31,2,2.987,13.704,13.616
1254,river,May-14,M,33.35,1.11,2,2.46,10.805,10.629
1255,river,May-14,F,39.45,1.77,2,2.988,11.684,12.475
1256,river,May-14,M,30.05,0.57,2,2.401,8.082,7.906
1257,river,May-14,F,36.35,1.24,2,2.899,10.278,10.893
1258,river,May-14,M,40.9,2.1,2,3.075,11.069,13.528
1259,river,May-14,F,43.5,2.09,2,2.987,11.903,13.177
1260,river,May-14,M,42.3,2.61,2,3.25,12.474,14.626
1261,river,May-14,M,32.95,0.95,2,2.46,8.916,9.136
1262,river,May-14,M,35.7,1.3,2,2.723,9.312,10.673
1263,river,May-14,M,35.6,1.11,2,2.899,9.927,10.41
1264,river,May-14,M,37.55,1.77,2,2.987,11.025,12.738
1265,river,May-14,F,39.7,1.61,2,3.031,11.332,11.991
1266,river,May-14,F,45.4,2.66,2,3.031,13.792,14.67
1267,river,May-14,F,41.95,1.93,2,2.899,10.849,12.211
1268,river,May-14,F,42.9,2.16,2,3.206,12.43,13.221
1269,river,May-14,F,39,1.48,2,2.899,10.849,11.288
1270,river,May-14,F,41.75,1.78,2,3.075,11.552,12.167
1271,river,May-14,F,33.65,0.84,2,2.504,9.092,9.224
1272,river,May-14,M,41.35,2.18,2,2.767,11.64,14.012
1273,river,May-14,F,28.45,0.61,2,2.167,7.789,7.672
1274,river,May-14,F,25.85,0.41,2,2.079,7.086,6.852
1275,river,May-14,F,40.5,1.93,2,2.899,11.991,12.738
1276,river,May-14,F,37.65,1.4,2,2.855,10.673,11.464
1277,river,May-14,F,35.7,1.12,2,2.591,9.531,10.366
1278,river,May-14,F,33.2,1.08,2,2.899,9.443,9.883
1279,river,May-14,M,31.4,0.79,2,2.416,8.565,8.916
1280,river,May-14,F,40.2,1.71,2,2.723,11.508,12.211
1281,river,May-14,M,29,0.69,2,2.284,8.55,8.697
1282,river,May-14,M,45.5,2.68,2,3.382,12.43,14.809
1283,river,May-14,F,29.6,0.66,2,2.306,7.841,8.038
1284,river,May-14,F,40.8,1.88,2,3.097,11.727,11.727
1285,river,May-14,F,40.45,1.88,2,3.031,12.255,12.979
1286,river,May-14,M,44.75,2.71,2,3.228,12.848,15.747
1287,river,May-14,M,44.85,2.47,2,2.701,12.65,15.088
1288,river,May-14,M,39.95,1.81,2,2.833,11.86,13.046
1289,river,May-14,M,38.65,1.64,2,2.899,10.739,12.847
1290,river,May-14,F,23.3,0.28,2,1.801,6.018,5.93
1291,river,May-14,M,39.9,1.78,2,2.833,11.2,12.716
1292,river,May-14,F,37.8,1.38,2,2.701,9.488,10.673
1293,river,May-14,F,38.55,1.43,2,2.635,10.278,10.673
1294,river,May-14,F,28.05,0.54,2,2.152,7.994,7.906
1295,river,May-14,F,40.6,1.72,2,2.855,10.674,11.727
1296,river,May-14,F,38.65,1.55,2,2.593,9.708,11.245
1297,river,May-14,F,30.85,0.73,2,2.24,7.643,8.126
1298,river,May-14,M,35,1.34,2,2.635,10.058,11.64
1299,river,May-14,F,36.3,1.28,2,2.943,10.366,10.366
1300,river,May-14,M,42.45,2.33,2,3.162,12.694,15.241
1301,river,May-14,F,39.1,1.5,2,2.987,10.806,10.897
1302,river,May-14,F,41.85,1.79,2,3.206,11.222,12.26
1303,river,May-14,M,35.2,1.24,2,2.855,10.454,11.136
1304,river,May-14,F,39.7,1.56,2,3.031,11.244,11.398
1305,river,May-14,M,37.9,1.56,2,2.834,10.608,12.124
1306,river,May-14,F,37.5,1.44,2,2.702,10.607,11.339
1307,river,May-14,M,38.5,1.6,2,2.899,11.859,12.718
1308,river,May-14,F,40.2,1.67,2,3.031,11.21,11.53
1309,river,May-14,F,37.25,1.4,2,2.636,10.807,11.006
1310,river,May-14,F,28.7,0.61,2,2.197,8.26,8.217
1311,river,May-14,F,39.9,1.66,2,3.119,10.674,11.684
1312,river,May-14,F,40.05,1.65,2,2.966,10.552,11.662
1313,river,May-14,F,39.1,1.72,2,3.187,11.205,11.82
1314,river,May-14,F,24.5,0.34,2,1.889,6.859,6.724
1315,river,May-14,M,42.55,2.3,2,3.086,12.804,14.583
1316,river,May-14,M,41.15,1.97,2,3.18,12.163,13.525
1317,river,May-14,F,38.05,1.62,2,2.906,11.337,12.203
1318,river,May-14,F,43.85,2.08,2,3.173,12.765,12.784
1319,river,May-14,F,39,1.9,2,3.097,11.342,12.332
1320,river,May-14,F,41.3,1.99,2,2.9,11.201,12.189
1321,river,May-14,M,35.25,1.1,2,3.103,10.366,10.871
1322,river,May-14,F,40.75,1.62,2,3.193,12.226,11.604
1323,river,May-14,M,47.8,3.86,2,3.646,14.891,18.317
1324,river,May-14,M,35.85,1.24,2,2.549,10.542,10.717
1325,river,May-14,M,42.2,2.01,2,3.251,12.924,13.265
1326,river,May-14,M,47.2,3.09,2,3.426,13.887,16.427
1327,river,May-14,M,43,2.51,2,3.25,12.567,14.233
1328,river,May-14,F,39.25,1.53,2,2.811,10.808,11.332
1329,river,May-14,M,41.4,1.84,2,2.987,11.947,13.004
1330,river,May-14,M,45.15,2.83,2,3.69,13.974,15.639
1331,river,May-14,M,38,1.48,2,3.251,11.332,11.685
1332,river,May-14,F,39.05,1.64,2,3.339,10.981,11.428
1333,river,May-14,M,40.4,1.96,2,3.606,11.771,14.143
1334,river,May-14,M,44.25,2.46,2,3.606,13.617,15.198
1335,river,May-14,F,36.15,1.17,2,2.988,10.805,10.287
1336,river,May-14,M,51.35,4.16,2,3.781,17.046,19.333
1337,river,May-14,M,38.45,1.77,2,3.427,12.036,12.65
1338,river,May-14,M,42.8,2.34,2,3.251,13.177,14.85
1339,river,May-14,M,44.2,2.58,2,3.778,13.539,15.116
1340,river,May-14,M,47.5,3.12,2,3.602,14.153,15.99
1341,river,May-14,M,46.9,2.94,2,3.865,13.977,15.645
1342,river,May-14,F,40.85,1.78,2,3.164,11.899,12.753
1343,river,May-14,M,34.45,1.24,2,2.987,10.279,10.633
1344,river,May-14,F,39.1,1.54,2,3.08,11.334,11.157
1345,river,May-14,M,41.1,1.57,2,2.9,11.157,11.686
1346,river,May-14,M,41.5,2.11,2,3.255,12.65,13.97
1347,river,May-14,F,38.5,1.59,2,2.817,11.42,11.16
1348,river,May-14,M,41.6,2.25,2,3.162,13.275,14.153
1349,river,May-14,M,47.7,2.98,2,3.874,13.623,15.813
1350,river,May-14,F,43.5,2.4,2,3.606,12.826,14.231
1351,bore,May-14,M,38.35,1.66,0,3.25,10.806,12.374
1352,bore,May-14,M,40.5,2.11,2,3.602,12.347,14.193
1353,bore,May-14,M,40.65,2.19,right,3.36,11.662,13.648
1354,bore,May-14,F,29.8,0.67,left,2.461,7.921,8.094
1355,bore,May-14,M,43.3,1.93,2,3.234,13.049,14.626
1356,bore,May-14,F,31.75,0.8,2,2.725,8.783,8.698
1357,bore,May-14,F,31.1,0.78,0,2.373,8.631,8.631
1358,bore,May-14,F,30.05,0.7,left,2.817,8.785,8.523
1359,bore,May-14,M,42.2,2.47,2,3.648,12.958,14.981
1360,bore,May-14,M,43.3,2.63,2,3.494,13.375,15.302
1361,bore,May-14,F,32.7,1.1,0,3.106,9.62,10.235
1362,bore,May-14,F,30.5,0.76,2,2.504,8.196,8.105
1363,bore,May-14,M,33.2,0.98,left,2.635,10.015,9.951
1364,bore,May-14,M,30.05,0.78,right,2.548,8.872,9.182
1365,bore,May-14,F,31.6,0.84,0,2.9,9.004,9.136
1366,bore,May-14,M,30.1,0.69,2,2.328,8.088,8.659
1367,bore,May-14,M,31.5,0.8,2,2.558,8.82,9.426
1368,bore,May-14,M,38.45,1.62,2,3.164,11.303,12.089
1369,bore,May-14,F,30.55,0.71,2,2.196,7.475,8.082
1370,bore,May-14,M,40.3,2.3,2,3.162,11.601,14.319
1371,bore,May-14,M,30.05,0.81,0,2.284,8.171,8.697
1372,bore,May-14,M,35,1.41,2,2.549,10.116,11.158
1373,bore,May-14,M,41.2,2.14,2,3.427,12.474,13.357
1374,bore,May-14,M,44.5,2.52,left,3.869,13.445,14.408
1375,bore,May-14,F,27.25,0.52,2,2.11,7.208,7.467
1376,bore,May-14,F,37.15,1.47,2,2.911,10.893,11.169
1377,bore,May-14,M,38.7,1.74,left,3.075,11.16,12.387
1378,bore,May-14,M,33.7,1.02,2,3.164,9.752,10.366
1379,bore,May-14,M,41.6,2.39,2,3.164,12.651,14.675
1380,bore,May-14,M,41.25,2.05,0,3.694,12.123,14.058
1381,bore,May-14,M,40.55,1.78,right,3.095,10.894,13.089
1382,bore,May-14,F,27.1,0.54,left,2.198,7.304,7.116
1383,bore,May-14,M,41.2,2.07,0,3.426,11.867,13.792
1384,bore,May-14,F,31.6,0.72,2,2.372,8.089,8.262
1385,bore,May-14,M,39.3,1.57,2,3.349,10.981,11.508
1386,bore,May-14,M,44.05,2.4,2,3.436,13.972,15.14
1387,bore,May-14,M,33.5,1,2,2.46,9.138,9.579
1388,bore,May-14,M,34.9,1.45,2,2.9,10.808,11.508
1389,bore,May-14,F,30.25,0.59,2,2.723,7.818,7.557
1390,bore,May-14,M,38.3,1.44,2,2.812,10.998,11.86
1391,bore,May-14,M,39.9,1.68,2,3.603,11.597,12.394
1392,bore,May-14,F,30.6,0.69,0,2.244,8.505,8.105
1393,bore,May-14,M,30,0.63,2,2.723,7.555,8.171
1394,bore,May-14,F,31.6,0.84,2,3.075,8.785,8.964
1395,bore,May-14,F,32.2,0.81,0,2.548,9.318,8.697
1396,bore,May-14,F,36.4,1.29,2,3.167,9.839,9.845
1397,bore,May-14,F,32.45,0.89,0,2.372,8.17,8.62
1398,bore,May-14,F,29.15,0.6,2,2.46,8.441,7.731
1399,bore,May-14,M,29.85,0.71,2,2.284,8.086,8.609
1400,bore,May-14,M,45.7,2.65,0,3.602,13.357,14.583
1401,bore,May-14,M,40,1.69,right,2.899,10.366,12.124
1402,bore,May-14,F,25.15,0.42,2,2.022,6.589,6.418
1403,bore,May-14,M,33.45,0.89,2,3.164,8.873,8.697
1404,bore,May-14,M,35.1,1.16,2,2.899,9.489,10.547
1405,bore,May-14,M,46.75,2.62,2,3.954,13.353,15.902
1406,bore,May-14,M,40.3,1.98,left,3.518,11.513,13.705
1407,bore,May-14,F,33.7,0.87,2,3.076,8.872,9.138
1408,bore,May-14,M,31.5,0.75,left,2.637,8.262,8.609
1409,bore,May-14,F,30.75,0.72,2,2.198,7.819,8.269
1410,bore,May-14,F,31.9,0.68,right,2.548,8.523,7.996
1411,bore,May-14,M,44,2.37,2,3.427,13.002,14.411
1412,bore,May-14,M,40,1.69,2,3.25,10.806,12.388
1413,bore,May-14,F,26.1,0.44,2,2.291,6.15,6.769
1414,bore,May-14,F,32,0.74,2,2.461,8.258,8.346
1415,bore,May-14,F,29.1,0.45,2,2.286,7.994,7.735
1416,bore,May-14,M,41.9,2.29,right,2.767,13.77,14.833
1417,bore,May-14,M,40.05,1.56,left,2.767,10.871,12
1418,bore,May-14,F,32.2,0.69,2,2.372,7.225,8.437
1419,bore,May-14,M,33.05,1.03,2,2.768,9.927,10.458
1420,bore,May-14,M,27.65,0.52,2,2.152,7.511,7.559
1421,bore,May-14,F,27.4,0.43,2,2.328,8.17,7.381
1422,bore,May-14,F,32.75,0.86,right,2.505,8.741,9.011
1423,bore,May-14,M,42.7,2.47,2,3.887,13.309,15.095
1424,bore,May-14,F,29.9,0.6,2,2.416,7.907,7.908
1425,bore,May-14,F,27.8,0.5,right,2.284,8.082,7.38
1426,bore,May-14,M,36.35,1.34,2,2.68,10.322,11.734
1427,bore,May-14,F,31.6,0.82,2,2.593,8.258,8.881
1428,bore,May-14,M,29.05,0.55,2,2.284,7.818,8.132
1429,bore,May-14,M,26.1,0.43,0,2.167,8.2,7.556
1430,bore,May-14,F,28.1,0.51,2,2.108,8.258,7.6
1431,bore,May-14,M,41,1.84,0,3.031,11.861,13.317
1432,bore,May-14,M,42.1,2.14,0,3.097,12.189,13.841
1433,bore,May-14,M,38.2,1.45,2,3.69,11.464,11.927
1434,bore,May-14,M,33.4,1.15,2,2.549,9.971,10.762
1435,bore,May-14,F,23.8,0.33,right,1.758,6.473,6.501
1436,bore,May-14,M,31.7,0.84,0,2.372,9.049,9.185
1437,bore,May-14,M,41.75,1.94,2,3.229,12.452,13.38
1438,bore,May-14,F,27.2,0.49,2,2.169,7.088,7.262
1439,bore,May-14,M,30.05,0.66,2,2.504,8.434,8.569
1440,bore,May-14,M,36.65,1.47,0,3.251,10.761,11.906
1441,bore,May-14,F,26.35,0.37,2,2.021,7.73,6.796
1442,bore,May-14,M,44.05,2.55,right,3.031,12.123,14.568
1443,bore,May-14,M,43.95,2.38,0,3.427,12.255,14.759
1444,bore,May-14,F,33.3,0.9,2,2.635,9.663,9.358
1445,bore,May-14,M,38.85,1.69,2,2.68,11.771,13.002
1446,bore,May-14,M,38.9,1.5,0,2.855,11.332,11.728
1447,bore,May-14,F,30.2,0.66,2,2.46,8.477,8.391
1448,bore,May-14,F,29.8,0.64,2,2.153,7.95,8.13
1449,bore,May-14,M,24.3,0.36,2,1.933,6.881,6.738
1450,bore,May-14,M,39.4,1.68,right,2.811,11.771,12.388
1451,bore,May-14,M,39.75,1.7,2,2.812,11.069,12.345
1452,bore,May-14,M,39.75,1.63,2,2.899,11.464,12.475
1453,bore,May-14,F,32.1,0.86,left,2.504,9.004,9.05
1454,bore,May-14,M,40.85,2.1,2,3.228,12.848,14.365
1455,bore,May-14,M,34.1,1.1,2,2.811,9.795,10.546
1456,bore,May-14,F,42.35,1.8,2,3.426,12.694,12.563
1457,bore,May-14,M,28.7,0.61,2,2.46,8.669,8.668
1458,bore,May-14,F,30.7,0.66,2,2.548,9.4,8.478
1459,bore,May-14,M,35.9,1.18,0,2.548,9.795,10.591
1460,bore,May-14,M,24.55,0.29,left,1.962,7.028,6.414
1461,bore,May-14,F,34.35,1.02,2,2.591,9.62,9.756
1462,bore,May-14,M,30.3,0.75,left,2.328,8.785,8.962
1463,bore,May-14,F,29.65,0.66,2,2.196,8.433,8.114
1464,bore,May-14,M,31.8,0.8,2,2.46,9.487,9.006
1465,bore,May-14,F,30.15,0.7,2,2.328,8.48,8.172
1466,bore,May-14,F,23.05,0.29,2,1.904,6.471,6.034
1467,bore,May-14,M,37.15,1.46,right,2.767,11.266,12.322
1468,bore,May-14,F,23.6,0.33,left,1.874,6.56,6.589
1469,bore,May-14,F,32.6,0.92,2,2.548,9.184,9.707
1470,bore,May-14,M,36.15,1.34,0,2.814,10.633,11.598
1471,bore,May-14,M,30.55,0.62,2,2.065,8.082,8.175
1472,bore,May-14,M,32.5,0.87,0,2.284,8.698,8.961
